timestamp,worker_id,batch_size,duration_ms,total_rows_after_insert_approx
2025-05-21T20:54:07.368758,2,1000,22.06,517000
2025-05-21T20:54:07.433889,2,1000,22.75,519000
2025-05-21T20:54:07.497259,2,1000,21.70,521000
2025-05-21T20:54:07.567713,2,1000,22.35,523000
2025-05-21T20:54:07.628262,2,1000,19.52,525000
2025-05-21T20:54:07.686555,2,1000,18.86,527000
2025-05-21T20:54:07.762590,2,1000,36.14,529000
2025-05-21T20:54:07.834342,2,1000,19.96,531000
2025-05-21T20:54:07.905122,2,1000,19.43,533000
2025-05-21T20:54:07.976149,2,1000,19.69,535000
2025-05-21T20:54:08.045906,2,1000,19.17,537000
2025-05-21T20:54:08.115674,2,1000,19.02,539000
2025-05-21T20:54:08.185699,2,1000,19.24,541000
2025-05-21T20:54:08.246033,2,1000,20.79,543000
2025-05-21T20:54:08.304897,2,1000,19.69,545000
2025-05-21T20:54:08.363173,2,1000,19.43,547000
2025-05-21T20:54:08.420673,2,1000,18.63,549000
2025-05-21T20:54:08.477823,2,1000,18.45,551000
2025-05-21T20:54:08.535275,2,1000,18.31,553000
2025-05-21T20:54:08.595570,2,1000,20.96,555000
2025-05-21T20:54:08.656937,2,1000,20.39,557000
2025-05-21T20:54:08.716904,2,1000,20.41,559000
2025-05-21T20:54:08.780164,2,1000,20.74,561000
2025-05-21T20:54:08.847503,2,1000,20.80,563000
2025-05-21T20:54:08.907690,2,1000,20.34,565000
2025-05-21T20:54:08.966800,2,1000,19.81,567000
2025-05-21T20:54:09.026627,2,1000,19.97,569000
2025-05-21T20:54:09.086085,2,1000,19.89,571000
2025-05-21T20:54:09.145447,2,1000,19.84,573000
2025-05-21T20:54:09.204008,2,1000,19.12,575000
2025-05-21T20:54:09.262862,2,1000,19.50,577000
2025-05-21T20:54:09.325245,2,1000,23.75,579000
2025-05-21T20:54:09.383245,2,1000,19.20,581000
2025-05-21T20:54:09.442145,2,1000,19.43,583000
2025-05-21T20:54:09.505204,2,1000,18.73,585000
2025-05-21T20:54:09.562739,2,1000,18.70,587000
2025-05-21T20:54:09.620318,2,1000,18.43,589000
2025-05-21T20:54:09.678797,2,1000,18.95,591000
2025-05-21T20:54:09.735539,2,1000,17.99,593000
2025-05-21T20:54:09.796863,2,1000,20.52,595000
2025-05-21T20:54:09.865144,2,1000,20.10,597000
2025-05-21T20:54:09.926935,2,1000,18.67,599000
2025-05-21T20:54:09.985487,2,1000,19.33,601000
2025-05-21T20:54:10.050143,2,1000,19.27,603000
2025-05-21T20:54:10.110044,2,1000,21.22,605000
2025-05-21T20:54:10.175116,2,1000,23.52,607000
2025-05-21T20:54:10.234174,2,1000,20.13,609000
2025-05-21T20:54:10.293713,2,1000,20.11,611000
2025-05-21T20:54:10.356127,2,1000,20.58,613000
2025-05-21T20:54:10.416294,2,1000,20.35,615000
2025-05-21T20:54:10.475348,2,1000,20.29,617000
2025-05-21T20:54:10.535539,2,1000,20.77,619000
2025-05-21T20:54:10.595871,2,1000,20.43,621000
2025-05-21T20:54:10.657222,2,1000,20.55,623000
2025-05-21T20:54:10.724510,2,1000,20.08,625000
2025-05-21T20:54:10.793055,2,1000,14.76,627000
2025-05-21T20:54:10.865663,2,1000,14.48,629000
2025-05-21T20:54:10.945106,2,1000,21.24,631000
2025-05-21T20:54:11.013399,2,1000,18.87,633000
2025-05-21T20:54:11.080202,2,1000,20.22,635000
2025-05-21T20:54:11.148444,2,1000,23.56,637000
2025-05-21T20:54:11.207439,2,1000,19.40,639000
2025-05-21T20:54:11.265212,2,1000,19.04,641000
2025-05-21T20:54:11.328814,2,1000,18.89,643000
2025-05-21T20:54:11.388217,2,1000,18.76,645000
2025-05-21T20:54:11.446322,2,1000,19.01,647000
2025-05-21T20:54:11.504723,2,1000,18.86,649000
2025-05-21T20:54:11.562864,2,1000,18.72,651000
2025-05-21T20:54:11.620942,2,1000,19.31,653000
2025-05-21T20:54:11.678659,2,1000,19.04,655000
2025-05-21T20:54:11.736388,2,1000,18.82,657000
2025-05-21T20:54:11.794093,2,1000,17.63,659000
2025-05-21T20:54:11.875004,2,1000,22.91,661000
2025-05-21T20:54:11.945013,2,1000,21.41,663000
2025-05-21T20:54:12.009839,2,1000,20.56,665000
2025-05-21T20:54:12.069830,2,1000,20.42,667000
2025-05-21T20:54:12.129717,2,1000,20.21,669000
2025-05-21T20:54:12.189798,2,1000,20.16,671000
2025-05-21T20:54:12.248521,2,1000,19.19,673000
2025-05-21T20:54:12.309180,2,1000,20.40,675000
2025-05-21T20:54:12.369116,2,1000,20.24,677000
2025-05-21T20:54:12.429005,2,1000,20.36,679000
2025-05-21T20:54:12.489516,2,1000,20.53,681000
2025-05-21T20:54:12.557084,2,1000,20.68,683000
2025-05-21T20:54:01.659401,1,1000,21.73,344000
2025-05-21T20:54:01.731909,1,1000,22.77,346000
